Step,Symbol,Timeframe,Net Profit (USD),Net Profit Long (USD),Net Profit Short (USD),% Profitable,% Profitable Long,% Profitable Short,Profit Factor,Profit Factor Long,Profit Factor Short,Max Drawdown (USD),Buy & Hold Return (USD),Total Closed Trades,Total Closed Trades Long,Total Closed Trades Short,Total Open Trades,Total Open Trades Long,Total Open Trades Short,Avg Trade (USD),Avg Trade Long (USD),Avg Trade Short (USD),Avg Winning Trade (USD),Avg Winning Trade Long (USD),Avg Winning Trade Short (USD),Avg Losing Trade (USD),Avg Losing Trade Long (USD),Avg Losing Trade Short (USD),Largest Winning Trade (USD),Largest Winning Trade Long (USD),Largest Winning Trade Short (USD),Largest Losing Trade (USD),Largest Losing Trade Long (USD),Largest Losing Trade Short (USD),Left Bars,Right Bars,Enable Long Entry,Enable Short Entry,Entry Type,Trigger Distance (ticks),Stop Loss (ticks),Take Profit (ticks),Trade Cutoff Time (ET),Enable Long Breakout,Enable Short Breakout,Breakout Entry Type,Breakout Trigger Distance (ticks),Breakout Stop Loss (ticks),Breakout Take Profit (ticks),Breakout Left Bars,Breakout Right Bars
1982,CME_MINI:MNQ1!,5,"2,180.00","1,740.00",440,34.92,40.68,29.85,1.45,1.83,1.16,620,"191,850.00",126,59,67,0,0,0,17.3,29.49,6.57,160,160,160,60,60,60,160,160,160,60,60,60,15,10,Touch,100,120,320,,,,,,,,,,,
1872,CME_MINI:MNQ1!,5,"1,940.00","1,680.00",260,33.85,40,28.57,1.38,1.78,1.09,736,"191,850.00",130,60,70,0,0,0,14.92,28,3.71,160,160,160,60,60,60,160,160,160,60,60,60,15,10,Touch,90,120,320,,,,,,,,,,,
2092,CME_MINI:MNQ1!,5,"2,040.00","1,640.00",400,34.71,40.35,29.69,1.44,1.8,1.15,560,"191,850.00",121,57,64,0,0,0,16.86,28.77,6.25,160,160,160,60,60,60,160,160,160,60,60,60,15,10,Touch,110,120,320,,,,,,,,,,,
1871,CME_MINI:MNQ1!,5,"1,591.00","1,620.00",-29,32.58,39.34,26.76,1.3,1.73,0.99,999,"191,850.00",132,61,71,0,0,0,12.05,26.56,-0.41,160,160,160,60.1,60,60.18,160,160,160,69,60,69,10,10,Touch,90,120,320,,,,,,,,,,,
1761,CME_MINI:MNQ1!,5,"1,451.00","1,600.00",-149,31.88,38.46,26.03,1.26,1.67,0.95,999,"191,850.00",138,65,73,0,0,0,10.51,24.62,-2.04,160,160,160,60.1,60,60.17,160,160,160,69,60,69,10,10,Touch,80,120,320,,,,,,,,,,,
1984,CME_MINI:MNQ1!,5,"2,000.00","1,540.00",460,34.75,40,30.16,1.44,1.78,1.18,840,"191,850.00",118,55,63,0,0,0,16.95,28,7.3,160,160,160,60,60,60,160,160,160,60,60,60,25,10,Touch,100,120,320,,,,,,,,,,,
1445,CME_MINI:MNQ1!,5,"1,540.00","1,500.00",40,28.1,32.35,22.64,1.39,1.74,1.02,485.5,"191,850.00",121,68,53,0,0,0,12.73,22.06,0.75,160,160,160,45.35,43.91,47,160,160,160,60,60,60,25,25,Touch,90,80,320,,,,,,,,,,,
1762,CME_MINI:MNQ1!,5,"1,860.00","1,500.00",360,33.33,38.1,29.17,1.35,1.64,1.12,760,"191,850.00",135,63,72,0,0,0,13.78,23.81,5,160,160,160,60,60,60,160,160,160,60,60,60,15,10,Touch,80,120,320,,,,,,,,,,,
1677,CME_MINI:MNQ1!,5,960,"1,480.00",-520,26.92,35.09,17.02,1.27,1.86,0.71,388.5,"191,850.00",104,57,47,0,0,0,9.23,25.96,-11.06,160,160,160,46.93,46.49,47.37,160,160,160,60,60,60,30,40,Touch,110,80,320,,,,,,,,,,,
1874,CME_MINI:MNQ1!,5,"1,820.00","1,480.00",340,33.88,39.29,29.23,1.38,1.73,1.13,920,"191,850.00",121,56,65,0,0,0,15.04,26.43,5.23,160,160,160,60,60,60,160,160,160,60,60,60,25,10,Touch,90,120,320,,,,,,,,,,,
1567,CME_MINI:MNQ1!,5,940,"1,460.00",-520,26.67,34.48,17.02,1.27,1.84,0.71,388.5,"191,850.00",105,58,47,0,0,0,8.95,25.17,-11.06,160,160,160,46.58,45.79,47.37,160,160,160,60,60,60,30,40,Touch,100,80,320,,,,,,,,,,,
1981,CME_MINI:MNQ1!,5,"1,671.00","1,460.00",211,33.07,38.33,28.36,1.33,1.66,1.07,879,"191,850.00",127,60,67,0,0,0,13.16,24.33,3.15,160,160,160,60.11,60,60.19,160,160,160,69,60,69,10,10,Touch,100,120,320,,,,,,,,,,,
1665,CME_MINI:MNQ1!,5,"1,620.00","1,440.00",180,28.81,32.81,24.07,1.42,1.75,1.09,445.5,"191,850.00",118,64,54,0,0,0,13.73,22.5,3.33,160,160,160,46.02,44.65,47.5,160,160,160,60,60,60,25,25,Touch,110,80,320,,,,,,,,,,,
2094,CME_MINI:MNQ1!,5,"1,800.00","1,440.00",360,34.21,39.62,29.51,1.41,1.75,1.14,780,"191,850.00",114,53,61,0,0,0,15.79,27.17,5.9,160,160,160,60,60,60,160,160,160,60,60,60,25,10,Touch,110,120,320,,,,,,,,,,,
662,CME_MINI:MNQ1!,5,"1,690.00","1,420.00",270,36.51,42.37,31.34,1.36,1.7,1.1,700,"191,850.00",126,59,67,0,0,0,13.41,24.07,4.03,139.78,138.4,141.43,60,60,60,160,160,160,60,60,60,15,10,Touch,100,120,260,,,,,,,,,,,
1335,CME_MINI:MNQ1!,5,"1,580.00","1,420.00",160,28,31.43,23.64,1.39,1.68,1.08,525.5,"191,850.00",125,70,55,0,0,0,12.64,20.29,2.91,160,160,160,45.17,43.75,46.83,160,160,160,60,60,60,25,25,Touch,80,80,320,,,,,,,,,,,
1457,CME_MINI:MNQ1!,5,900,"1,420.00",-520,26.42,33.9,17.02,1.25,1.8,0.71,389,"191,850.00",106,59,47,0,0,0,8.49,24.07,-11.06,160,160,160,46.49,45.64,47.37,160,160,160,60,60,60,30,40,Touch,90,80,320,,,,,,,,,,,
1542,CME_MINI:MNQ1!,5,"1,660.00","1,420.00",240,28.57,33.9,23.88,1.4,1.8,1.1,540,"191,850.00",126,59,67,0,0,0,13.17,24.07,3.58,160,160,160,46.07,45.64,46.4,160,160,160,60,60,60,15,10,Touch,100,80,320,,,,,,,,,,,
1555,CME_MINI:MNQ1!,5,"1,400.00","1,420.00",-20,27.73,32.31,22.22,1.36,1.73,0.99,485.5,"191,850.00",119,65,54,0,0,0,11.76,21.85,-0.37,160,160,160,45.65,44.09,47.32,160,160,160,60,60,60,25,25,Touch,100,80,320,,,,,,,,,,,
1347,CME_MINI:MNQ1!,5,980,"1,380.00",-400,26.61,33.33,18.37,1.27,1.76,0.78,425,"191,850.00",109,60,49,0,0,0,8.99,23,-8.16,160,160,160,46.33,45.5,47.18,160,160,160,60,60,60,30,40,Touch,80,80,320,,,,,,,,,,,
1432,CME_MINI:MNQ1!,5,"1,500.00","1,380.00",120,27.69,33.33,22.86,1.35,1.76,1.05,600,"191,850.00",130,60,70,0,0,0,11.54,23,1.71,160,160,160,45.81,45.5,46.04,160,160,160,60,60,60,15,10,Touch,90,80,320,,,,,,,,,,,
1544,CME_MINI:MNQ1!,5,"1,620.00","1,380.00",240,28.81,34.55,23.81,1.42,1.83,1.11,640,"191,850.00",118,55,63,0,0,0,13.73,25.09,3.81,160,160,160,46.02,46.11,45.96,160,160,160,60,60,60,25,10,Touch,100,80,320,,,,,,,,,,,
552,CME_MINI:MNQ1!,5,"1,640.00","1,360.00",280,36.15,41.67,31.43,1.33,1.65,1.1,820,"191,850.00",130,60,70,0,0,0,12.62,22.67,4,139.57,138.4,140.91,60,60,60,160,160,160,60,60,60,15,10,Touch,90,120,260,,,,,,,,,,,
1678,CME_MINI:MNQ1!,5,"1,000.00","1,360.00",-360,27.55,34.55,18.6,1.3,1.81,0.78,448.5,"191,850.00",98,55,43,0,0,0,10.2,24.73,-8.37,160,160,160,47.43,46.67,48.24,160,160,160,60,60,60,35,40,Touch,110,80,320,,,,,,,,,,,
2091,CME_MINI:MNQ1!,5,"1,531.00","1,360.00",171,32.79,37.93,28.13,1.31,1.63,1.06,819,"191,850.00",122,58,64,0,0,0,12.55,23.45,2.67,160,160,160,60.11,60,60.2,160,160,160,69,60,69,10,10,Touch,110,120,320,,,,,,,,,,,
772,CME_MINI:MNQ1!,5,"1,610.00","1,350.00",260,36.36,42.11,31.25,1.35,1.68,1.1,640,"191,850.00",121,57,64,0,0,0,13.31,23.68,4.06,140.23,138.75,142,60,60,60,160,160,160,60,60,60,15,10,Touch,110,120,260,,,,,,,,,,,
1434,CME_MINI:MNQ1!,5,"1,500.00","1,340.00",160,28.1,33.93,23.08,1.38,1.79,1.07,680,"191,850.00",121,56,65,0,0,0,12.4,23.93,2.46,160,160,160,45.81,45.95,45.71,160,160,160,60,60,60,25,10,Touch,90,80,320,,,,,,,,,,,
1568,CME_MINI:MNQ1!,5,980,"1,340.00",-360,27.27,33.93,18.6,1.29,1.79,0.78,448.5,"191,850.00",99,56,43,0,0,0,9.9,23.93,-8.37,160,160,160,47.04,45.95,48.24,160,160,160,60,60,60,35,40,Touch,100,80,320,,,,,,,,,,,
551,CME_MINI:MNQ1!,5,"1,731.00","1,330.00",401,36.36,40.98,32.39,1.35,1.62,1.14,959,"191,850.00",132,61,71,0,0,0,13.11,21.8,5.65,140,139.6,140.43,60.11,60,60.19,160,160,160,69,60,69,10,10,Touch,90,120,260,,,,,,,,,,,
1446,CME_MINI:MNQ1!,5,"1,500.00","1,320.00",180,28.1,31.34,24.07,1.38,1.65,1.09,485,"191,850.00",121,67,54,0,0,0,12.4,19.7,3.33,160,160,160,45.81,44.35,47.5,160,160,160,60,60,60,30,25,Touch,90,80,320,,,,,,,,,,,
