Step,Symbol,Timeframe,Net Profit (USD),Net Profit Long (USD),Net Profit Short (USD),% Profitable,% Profitable Long,% Profitable Short,Profit Factor,Profit Factor Long,Profit Factor Short,Max Drawdown (USD),Buy & Hold Return (USD),Total Closed Trades,Total Closed Trades Long,Total Closed Trades Short,Total Open Trades,Total Open Trades Long,Total Open Trades Short,Avg Trade (USD),Avg Trade Long (USD),Avg Trade Short (USD),Avg Winning Trade (USD),Avg Winning Trade Long (USD),Avg Winning Trade Short (USD),Avg Losing Trade (USD),Avg Losing Trade Long (USD),Avg Losing Trade Short (USD),Largest Winning Trade (USD),Largest Winning Trade Long (USD),Largest Winning Trade Short (USD),Largest Losing Trade (USD),Largest Losing Trade Long (USD),Largest Losing Trade Short (USD),Doji Body Threshold (%),Star Gap Threshold (%),Minimum Body Size for Star Pattern (%),Maximum Middle Candle Body Size (%),Trade Quantity,Risk/Reward Ratio,Maximum Trades Per Day,Trading Start Hour (ET),Trading Start Minute,Trading End Hour (ET),Trading End Minute,Force Close Hour (ET),Force Close Minute,Use ADX Filter,ADX Length,ADX Threshold,Show Pattern Markers,Show Pattern Labels,Show SL/TP Levels,Marker Size
1,"CME_MINI:MES1!","15","-1,937.50","-1,073.75","-863.75","35.47","40.00","30.49","0.75","0.76","0.72","3,178.75","143,718.75",172,90,82,0,0,0,"-11.26","-11.93","-10.53","93.50","96.53","89.15","68.84","84.24","54.25","238.75","227.50","238.75","625.00","625.00","165.00",10,5,35,15,1,2,5,7,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
2,"CME_MINI:MES1!","15","-1,741.25","-965.00","-776.25","36.55","42.11","30.43","0.74","0.77","0.71","3,026.25","143,762.50",145,76,69,0,0,0,"-12.01","-12.70","-11.25","95.38","98.28","90.95","73.87","93.41","55.96","238.75","227.50","238.75","625.00","625.00","165.00",10,5,40,15,1,2,5,7,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
3,"CME_MINI:MES1!","15","-2,172.50","-1,420.00","-752.50","33.33","38.46","26.92","0.64","0.63","0.66","3,088.75","143,893.75",117,65,52,0,0,0,"-18.57","-21.85","-14.47","99.55","97.30","103.57","77.63","96.31","57.96","238.75","227.50","238.75","625.00","625.00","165.00",10,5,45,15,1,2,5,7,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
4,"CME_MINI:MES1!","15","-2,242.50","-1,661.25","-581.25","33.33","37.50","27.91","0.59","0.53","0.69","3,005.00","144,025.00",99,56,43,0,0,0,"-22.65","-29.67","-13.52","97.27","90.06","109.90","82.61","101.50","61.29","238.75","227.50","238.75","625.00","625.00","165.00",10,5,50,15,1,2,5,7,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
5,"CME_MINI:MES1!","15","-627.50","-408.75","-218.75","35.21","38.46","31.25","0.80","0.78","0.84","1,505.00","155,700.00",71,39,32,0,0,0,"-8.84","-10.48","-6.84","101.90","95.58","111.38","69.02","76.77","60.57","238.75","227.50","238.75","367.50","367.50","165.00",10,5,55,15,1,2,5,7,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
6,"CME_MINI:MES1!","15","-253.75","96.25","-350.00","39.29","48.48","26.09","0.90","1.07","0.68","1,347.50","169,245.00",56,33,23,0,0,0,"-4.53","2.92","-15.22","102.39","93.91","125.00","73.71","82.72","64.71","238.75","227.50","238.75","367.50","367.50","165.00",10,5,60,15,1,2,5,7,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
7,"CME_MINI:MES1!","15","-183.75","-81.25","-102.50","41.46","48.00","31.25","0.90","0.93","0.87","995.00","169,245.00",41,25,16,0,0,0,"-4.48","-3.25","-6.41","99.56","85.94","132.25","78.18","85.58","69.43","238.75","227.50","238.75","367.50","367.50","165.00",10,5,65,15,1,2,5,7,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
8,"CME_MINI:MES1!","15","40.00","65.00","-25.00","50.00","57.89","28.57","1.04","1.08","0.91","995.00","106,080.00",26,19,7,0,0,0,"1.54","3.42","-3.57","89.04","82.27","126.25","85.96","105.00","55.50","227.50","227.50","130.00","367.50","367.50","82.50",10,5,70,15,1,2,5,7,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
9,"CME_MINI:MES1!","15","56.25","130.00","-73.75","56.25","66.67","25.00","1.07","1.22","0.64","756.25","90,865.00",16,12,4,0,0,0,"3.52","10.83","-18.44","94.58","90.16","130.00","113.57","147.81","67.92","227.50","227.50","130.00","367.50","367.50","82.50",10,5,75,15,1,2,5,7,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
10,"CME_MINI:MES1!","15","-1,587.50","-1,175.00","-412.50","34.82","37.29","32.08","0.84","0.80","0.90","2,810.00","143,543.75",224,118,106,0,0,0,"-7.09","-9.96","-3.89","106.75","103.95","110.37","67.90","77.69","57.85","517.50","517.50","353.75","625.00","625.00","177.50",10,5,35,20,1,2,5,7,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
